Sample,Sum formula,O count,DBE,Cnd_ 9,Cnd_2,Cnd_ 4,Cnd_ 5,Cnd_ 3,Cnd_ 4**,Cnd_ 5**,Cnd_ 6,Cnd_ 8,Cnd_ 7,Feed
pos_1364_269.11832,C17H16O3,3,10,739,1724,567,344,843,710,283,245,390,314,2557
Sesquiterpenoids/ Diterpenoids_269.18747,C19H24O,1,8,9119,10567,8923,5027,10671,9345,7284,1538,7303,6082,8511
Sesquiterpenoids/ Diterpenoids_269.18771,C19H24O,1,8,4121,3940,4160,3319,3899,3735,3405,1494,3393,2727,2796
Sesquiterpenoids/ Diterpenoids_269.18869,C19H24O,1,8,3846,6861,3176,1454,5253,3661,2774,701,2242,1803,5085
pos_1369_269.18979,C19H24O,1,8,4667,2109,5288,5363,3274,4513,6339,2098,6510,5518,695
pos_1370_270.21979,C19H27N,0,7,492,188,1131,831,698,907,683,695,1234,1251,7
pos_1373_271.09393,C14H16O4,4,7,866,2647,594,116,1319,964,281,110,470,537,3134
Benzopyrans?_271.13083,C17H18O3,3,9,4605,3866,4786,5301,4384,4955,4609,5109,5125,5256,2590
Benzopyrans?_271.13113,C17H18O3,3,9,1337,1150,2422,2050,1726,1219,1392,864,1422,1391,697
OH-2-3arRings ketones/pyrans_271.13416,C17H18O3,3,9,2577,2337,2713,2701,2332,2417,2685,2396,2547,2637,1833
pos_1378_271.19699,C21H26N2,0,10,3054,1538,3541,2953,2022,3514,5536,3938,5328,2239,1257
Aldehydes/ketones_271.20355,C19H26O,1,7,3901,3686,5059,5547,4051,3883,4766,4239,4421,4760,2596
Aldehydes/ketones_271.20422,C19H26O,1,7,3772,3104,4792,5778,3396,3647,4569,4069,4336,4726,2488
Aldehydes/ketones_271.2052,C19H26O,1,7,3329,1817,4153,3963,2683,3098,4412,2713,4044,2266,1010
Aliphatic amines_274.27374,C16H35NO2,2,0,10013,10183,7029,10350,10255,8028,8318,8133,10591,11604,12929
pos_1385_275.1264,C16H18O4,4,8,1269,1098,1447,1502,1161,1462,1583,1221,1748,1858,955
pos_1389_275.15836,C12H22N2O5,5,3,597,2573,1182,780,2386,1217,648,608,875,647,902
pos_1390_275.16272,C17H22O3,3,7,538,1416,561,698,790,695,400,507,673,540,2246
pos_1391_275.16418,C17H26O5,5,5,1141,1390,807,737,1161,1434,1245,849,1274,1055,3020
pos_1394_277.14163,C15H26O2,2,3,2444,1358,2720,2318,2203,2834,2705,1686,2877,2577,337
pos_1400_278.17468,C16H23NO3,3,6,203,991,115,109,409,188,107,72,152,68,1767
pos_1416_279.16922,C15H22N2O3,3,6,1817,1581,1711,1417,1610,1849,1900,1387,1529,1270,1522
pos_1436_281.14859,C12H22N2O4,4,3,779,1015,683,482,931,840,936,552,820,679,2346
pos_1442_283.13095,C13H18N2O5,5,6,1070,1700,1118,739,1643,1050,688,386,776,634,2687
OH-3arRings ketones/pyrans_283.13116,C18H18O3,3,10,5966,6012,6132,5986,6193,6025,5558,5535,5950,6239,5224
pos_1445_283.13135,C13H18N2O5,5,6,1430,1654,1390,1289,1664,1866,1561,1665,1681,1639,1930
pos_1457_285.11313,C17H16O4,4,10,785,1463,1120,375,1412,1212,700,142,616,476,1504
OH-3arRings ketones_285.14862,C18H20O3,3,9,7766,6313,8761,9855,8005,8312,8988,10236,9571,9236,3991
Furans_285.18521,C19H24O2,2,8,1342,954,1214,1110,1036,953,1014,1714,1236,1213,609
1arRing aldehydes or ketones_287.23572,C20H30O,1,6,1416,878,1950,1930,1260,1432,1917,1292,1645,1267,129
High-carbon molecules with ketone- or ester- and hydroxy-group_291.13824,C24H26O2,2,12,1251,3977,508,284,1849,1198,479,176,525,320,5634
OH-3arRings ketones/pyrans_297.14792,C19H20O3,3,10,1738,1710,2127,1725,1964,2044,2036,1586,1969,1851,1000
pos_1531_297.15027,C19H20O3,3,10,1037,2379,859,611,1258,881,688,534,680,591,2143
Clavines and derivatives_299.17645,C18H22N2O2,2,9,1395,5827,827,532,2383,853,229,303,494,591,413
pos_1539_299.19653,C15H26N2O4,4,4,1161,2222,1677,834,1690,1592,952,597,951,996,1559
pos_1541_301.15271,C12H20N4O5,5,5,449,1816,381,318,895,294,449,291,330,379,1787
pos_1542_301.1647,C15H24O6,6,4,609,1708,294,203,911,490,404,158,374,344,1115
pos_1543_301.18637,C13H26N4O5,5,3,1681,989,1662,1470,1687,1732,1033,432,1768,827,259
pos_1544_301.19492,C23H28O2,2,10,1374,779,1445,1132,1036,1548,1042,432,2185,1371,335
pos_1545_301.21231,C15H28N2O4,4,3,148,212,262,267,170,180,272,336,539,474,247
pos_1549_303.17203,C17H22N2O3,3,8,1693,1356,1680,1749,1310,1639,1949,2195,2287,2533,1115
pos_1556_303.20779,C18H26N2O2,2,7,628,157,826,2431,321,386,1721,3340,1458,2100,191
pos_1557_303.21344,C12H26N6O3,3,3,618,90,632,1976,249,493,1370,2842,1280,1924,75
pos_1604_313.14413,C19H20O4,4,10,1825,1723,1916,1664,1539,1978,1807,1956,2427,2492,2048
pos_1607_313.21686,C21H30O3,3,7,2968,2676,2726,1586,3176,2879,2520,555,2376,2416,2227
Diterpenoids_315.16055,C19H22O4,4,9,702,5117,1029,428,3316,1219,403,270,429,426,5404
pos_1612_315.16772,C13H22N4O5,5,5,917,5157,907,548,3243,1196,593,601,805,782,2534
pos_1616_315.23505,C21H32O3,3,6,2512,2214,2767,2834,2914,2765,3291,3810,1978,2046,1578
pos_1618_317.18878,C21H26O,1,9,3188,2746,3239,2562,3471,3178,2868,1934,3558,3045,4424
pos_1619_317.18887,C21H26O,1,9,1009,3493,947,686,1936,1197,803,648,928,1018,778
pos_1622_317.19543,C16H28O6,6,3,2537,2015,2896,2266,2743,3277,3105,1744,3329,3309,4880
pos_1627_319.16241,C15H24N2O4,4,5,959,2551,626,412,904,674,385,356,402,371,2223
pos_1629_319.20132,C18H26N2O3,3,7,2296,3186,2893,997,3263,2453,1220,307,1728,1119,312
pos_1630_319.20496,C21H28O,1,8,3852,2397,4527,2902,4528,4834,3709,1265,4489,3102,444
pos_1655_327.15421,C9H12O2,2,4,144,741,129,128,253,178,348,155,192,163,2085
Benzopyrans?_327.19379,C21H26O3,3,9,716,999,873,612,1096,1154,599,730,770,671,4008
pos_1660_329.16794,C20H24O4,4,9,447,2995,316,384,1934,582,427,195,331,268,2088
pos_1661_329.21008,C21H28O3,3,8,15470,16171,17184,15149,17656,17294,15859,10132,17501,15457,12890
pos_1742_335.19995,C21H28O2,2,8,1803,1972,1677,1198,2105,1869,1859,614,1855,1355,1251
Benzopyrans?_336.23346,C23H31NO2,2,9,2323,1442,3242,2144,3155,3237,2366,749,2677,2432,289
pos_1749_341.13531,C18H22O5,5,8,596,1429,707,236,1159,927,452,120,597,315,1155
High-carbon molecules with ketone- or ester- and hydroxy-group_347.19919,C20H18O2,2,12,225,1738,508,451,798,564,388,232,459,411,3088
pos_1764_349.216,C24H28O2,2,11,3368,4003,3492,2242,4032,3632,2607,631,3092,2491,4089
Dialkylamines/alkaloids and derivatives_114.12701,C7H15N,0,1,462,219,744,1028,384,586,743,1044,1210,1007,32
pos_186_116.14275,C7H17N,0,0,682,239,1397,2497,517,749,1755,3289,2199,2234,33
pos_201_119.08453,C9H12O,1,4,1618,3241,1439,865,1955,1840,1063,801,1041,948,630
pos_210_121.06377,C8H10O2,2,4,1020,1160,1123,1366,1170,1197,1112,1924,1083,1187,815
Ketones_123.07867,C8H10O,1,4,2398,3082,2425,1401,3004,2098,1976,905,1869,1665,11190
Ketones_123.07894,C8H10O,1,4,1758,1866,1977,1689,1594,1849,1908,1362,1735,1581,7201
Ketones_123.07916,C8H10O,1,4,474,449,421,519,439,525,583,491,454,543,4044
Guaiacol_125.05802,C7H8O2,2,4,446,1145,402,148,840,304,490,107,367,291,1624
Methoxyphenols?_125.05871,C7H8O2,2,4,796,2205,922,251,1674,922,384,77,397,246,1911
Methoxyphenols?_125.05943,C7H8O2,2,4,6219,12930,6328,1103,10591,7621,3068,129,2494,1730,12988
Ketones_125.09511,C8H12O,1,3,44583,77760,36342,9079,61393,53350,25362,3029,19989,16805,54638
Cyclohexenones_127.07423,C7H10O2,2,3,2376,1294,3075,1480,2475,2561,1804,291,1929,1717,355
Dialkylamines/alkaloids and derivatives_128.14275,C8H17N,0,1,2641,496,5303,5329,2261,2975,4232,1568,5872,4718,45
pos_319_131.084,C10H14O2,2,4,4378,8684,4837,1201,7327,5904,2491,312,2608,1302,8532
pos_33_85.06432,C5H8O,1,2,165,183,275,535,237,219,312,1516,266,428,159
Aldehydes and ketones_135.07819,C7H12O,1,2,683,1034,745,743,716,718,825,682,716,748,4631
Aldehydes and ketones_135.0786,C7H12O,1,2,804,890,693,570,796,722,697,556,615,548,3429
Aldehydes and ketones_135.07959,C9H10O,1,5,346,482,457,589,377,412,546,616,504,388,3613
pos_355_137.05811,C8H8O2,2,5,1612,1768,1522,1032,1657,1348,1109,711,1336,1023,795
Methoxyphenols?_139.07466,C8H10O2,2,4,1641,2706,1835,680,2516,2113,1358,360,1159,1219,2359
Ketones_139.10986,C9H14O,1,3,579,1008,687,2092,852,817,1412,3809,1456,1519,1102
Ketones_139.11057,C9H14O,1,3,36569,49395,34588,13550,46016,41556,27167,4643,22412,19181,22786
Alkylamines_140.14027,C9H17N,0,2,74,6,117,813,16,103,332,4126,699,588,36
Alkylamines_140.1425,C9H17N,0,2,38,19,63,386,18,42,203,1721,232,276,33
Ethers_141.08926,C6H14O2,2,0,9328,6235,10779,6699,7635,9486,8219,1704,10758,8455,283
Aldehydes and ketones_93.03271,C6H4O,1,5,15,157,4,11,35,16,11,16,27,28,647
pos_383_141.12648,C9H16O,1,2,54,49,85,342,60,76,246,1534,243,347,33
pos_384_141.13013,C7H16N3,0,1.5,231,53,852,1416,143,160,542,739,568,784,14
Piperidines?_142.15771,C9H19N,0,1,1374,807,3310,2451,1867,1768,2049,780,1561,2629,50
Dialkylamines or alkaloids and derivatives or piperidines_142.15822,C9H19N,0,1,2568,532,5435,4767,2101,2533,3204,1544,5223,4814,46
4-cyanoindole?_143.07211,C9H6N2,0,8,705,200,643,481,443,356,361,156,543,358,293
Hydrocarbons?_143.08388,C9H12,0,4,1036,1133,1052,1268,867,747,664,762,1227,794,2551
pos_403_144.17229,C9H21N,0,0,311,248,548,1050,307,234,304,1234,494,623,48
pos_405_145.06172,C10H8O,1,7,788,1490,641,666,853,815,694,439,876,710,2888
pos_406_145.06308,C10H8O,1,7,402,608,486,271,396,437,240,138,307,311,5002
pos_408_145.06322,C10H8O,1,7,1772,2822,1685,638,2359,1848,878,262,852,858,2307
Naphthalene derivatives_145.06348,C10H8O,1,7,623,1446,630,491,1140,841,411,185,465,372,1397
pos_410_145.06387,C10H8O,1,7,429,841,431,404,472,458,290,298,448,592,2198
pos_411_145.06409,C10H8O,1,7,1253,581,1747,766,1362,1532,1399,425,1657,1262,726
Naphthalene derivatives_145.06418,C10H8O,1,7,273,418,376,240,386,403,268,185,330,298,2917
Naphthalene derivatives_145.06491,C10H8O,1,7,274,385,352,426,358,478,544,207,541,474,3468
Quinoline derivative_146.05858,C9H7NO,1,7,409,756,297,194,801,904,445,55,366,207,516
2-Hydroxyquinoline_146.0591,C9H7NO,1,7,1518,1859,1618,1109,770,1634,1355,910,1648,1414,1591
Coumarin derivatives_147.04234,C9H6O2,2,7,2322,12019,848,111,5467,3003,488,93,399,211,15912
Coumarin_147.04311,C9H6O2,2,7,6280,17230,895,112,6329,5187,1299,74,826,365,24584
1arRing aldehydes or ketones_147.07832,C10H10O,1,6,10217,16855,12409,3803,16542,13845,6725,292,5773,4566,15712
Aldehydes?_147.07968,C10H10O,1,6,1347,1742,1868,1588,2016,1620,1170,1057,1474,1299,795
Aldehydes?_147.08047,C10H12O2,2,5,982,2245,1708,1177,2425,1919,1067,922,1207,1270,2288
Indole-3-carbinol_148.07513,C9H9NO,1,6,849,739,823,940,622,960,848,1203,1062,990,753
3-Methyloxyindole_148.07556,C9H9NO,1,6,464,355,376,450,449,490,419,454,512,497,489
pos_463_148.07741,C9H9NO,1,6,390,203,398,719,320,386,551,1166,698,675,185
Cinnamic acid or aldehyde derivatives_149.05829,C9H8O2,2,6,6501,5384,4977,3911,4511,3880,4027,2069,4130,3682,8273
Cinnamic acid or aldehyde derivatives_149.05833,C9H8O2,2,6,4719,1952,10032,8171,5330,6459,6963,4621,7488,7623,305
Cinnamic acid or aldehyde derivatives_149.05919,C9H8O2,2,6,1685,881,2426,2491,1360,1731,2991,1994,4444,2976,277
Aldehydes and ketones_149.09499,C10H12O,1,5,17197,32845,17840,4425,26731,22191,9178,1327,8987,5261,28925
2-benzopyrans?_151.03702,C8H6O3,3,6,270,1232,108,59,288,229,72,68,61,84,3678
pos_483_151.07333,C9H10O2,2,5,5509,7548,6658,3354,6989,6304,4567,2910,4909,4033,7578
pos_487_151.07394,C9H10O2,2,5,1511,3071,1330,666,2246,1812,766,516,739,608,2900
pos_490_151.07457,C9H10O2,2,5,1132,2419,1303,694,2082,1333,623,675,875,705,4700
Monoterpenoids_151.11026,C10H14O,1,4,1835,5070,2269,1010,4596,2636,1094,266,1270,1108,5644
pos_494_151.11032,C10H14O,1,4,1533,2352,1416,623,2241,1645,1070,331,1085,942,2523
Hydrocarbons?_69.06812,C5H8,0,2,120,152,144,614,90,199,290,1695,304,339,128
pos_503_153.0905,C9H12O2,2,4,1844,998,1190,1613,829,1192,1475,1262,1880,1588,627
1-Butyl-1H-imidazole-2-carbaldehyde_153.09084,C9H12O2,2,4,2446,4515,2024,894,3369,2413,1676,404,1507,1330,3730
Cyclic ketones_153.12692,C10H16O,1,3,1599,2040,1644,977,1552,1475,1120,1443,1081,886,1040
Alkylamines_154.15704,C10H19N,0,2,170,75,313,467,113,182,276,1359,404,383,3
Alkylamines_154.15742,C10H19N,0,2,3746,442,7341,4028,2780,4085,4494,1924,5051,4822,50
pos_516_155.10582,C9H14O2,2,3,5517,4065,7672,5148,5495,6956,8588,6540,7290,7738,1662
Cyclohexenones_155.10588,C9H14O2,2,3,5082,1786,5279,5769,3417,4839,6251,1969,7155,6260,153
pos_520_155.10806,C9H14O2,2,3,2993,1709,3847,2901,2648,3683,3587,1026,4235,3596,214
Aldehydes/ketones_157.06421,C11H8O,1,8,206,512,228,180,382,265,205,130,197,165,1312
Hydrocarbons?_157.09889,C10H14,0,4,3022,4212,2844,1078,3782,3321,1974,381,2113,1455,1966
Esters?_157.1201,C9H16O2,2,2,257,56,375,1001,72,157,663,1662,574,683,30
Esters?_157.12209,C9H16O2,2,2,1028,271,2309,1110,1126,880,1413,471,1112,910,84
Aldehydes/ketones_159.07945,C11H10O,1,7,764,1064,760,765,1007,893,653,619,629,672,8683
Coumarin derivatives_161.05724,C10H8O2,2,7,6139,13823,1632,321,6769,6153,1893,321,1730,1048,18928
pos_556_161.05798,C6H4N6,0,8,2127,3970,2146,860,3042,2727,1438,480,1524,1131,4232
"2,2-dimethyl-1-benzopyrans and ketones_161.05811",C10H8O2,2,7,1332,2658,1886,889,2830,2252,990,495,1331,1069,1229
Hydroxy coumarin derivatives_163.03664,C9H6O3,3,7,1911,4976,655,457,2392,1857,685,499,610,608,8465
"Acetophenones, 2,2-dimethyl-1-benzopyrans, Chromones_163.03787",C9H6O3,3,7,1564,4010,439,361,1441,1474,502,574,564,460,10003
Cinnamic acid or aldehyde derivatives_163.07297,C10H10O2,2,6,3788,3107,3556,3337,3222,3398,3221,2503,3684,3270,3013
Cinnamic acid derivatives_163.07362,C10H10O2,2,6,4825,8021,5836,2218,6972,5371,2828,722,3170,2578,7526
Cinnamic acid derivatives_163.07407,C10H10O2,2,6,2525,4582,2397,948,4167,2755,1327,337,1353,1016,5157
Cinnamic acid derivatives_163.07408,C10H10O2,2,6,15377,27798,15119,4790,23272,18153,8494,720,9131,6128,27471
Cinnamic acid or aldehyde derivatives_163.07492,C10H10O2,2,6,3234,1522,6833,6695,3206,4001,4604,3746,5256,5826,586
pos_590_163.075,C9H6O,1,7,1650,1041,1597,1109,1527,1124,1200,1160,1710,1283,1774
pos_591_163.07503,C10H10O2,2,6,7157,11788,8670,4108,9769,8632,4728,1354,5705,5005,10354
pos_592_163.07512,C10H10O2,2,6,10444,16269,12579,5803,15465,12785,6942,1655,7831,6483,14757
pos_594_163.07626,C10H10O2,2,6,1780,1166,2177,2375,1181,1673,2504,1738,2904,2549,790
Aldehydes and ketones_163.10992,C9H16O,1,2,1742,1028,1427,1845,1056,1501,2350,1782,2027,2256,1387
Aldehydes and ketones_163.11098,C11H14O,1,5,1726,1286,2108,2444,1535,1622,2885,2085,2081,2241,1319
pos_601_165.04967,C9H11NO3,3,5,967,1267,1392,1102,1111,1031,1182,1022,1162,1331,1214
pos_607_165.08913,C10H12O2,2,5,2295,5916,3947,2137,5323,5032,3399,2134,3305,3084,5892
pos_610_165.08968,C10H12O2,2,5,2061,4179,1990,737,3465,2459,1099,548,1304,873,4180
pos_611_165.08971,C8H14O2,2,2,14909,32540,17519,3642,28700,21417,9202,1035,9710,5748,30735
pos_614_165.09221,C10H12O2,2,5,1750,1800,1795,1792,1743,2036,1760,1540,1891,1869,1235
Ketones_165.12526,C11H16O,1,4,335,874,376,246,574,361,230,182,393,343,2492
pos_617_165.12547,C17H26O5,5,5,1025,3248,1091,608,1255,1006,812,215,826,698,5065
Ketones_165.12589,C11H16O,1,4,672,2449,629,616,983,955,680,247,830,682,6254
Ketones_165.12729,C11H16O,1,4,1480,5373,1445,437,3463,1799,827,169,818,544,2587
pos_627_167.06883,C9H10O3,3,5,8317,15186,10311,3478,13236,10489,4856,1084,6020,3987,12695
Methoxyphenols?_167.06927,C9H10O3,3,5,2379,924,4013,3050,2386,3444,3126,1990,3229,3130,390
pos_634_167.10548,C10H16O3,3,3,2082,1201,3654,665,3474,3603,1165,146,1717,1056,108
pos_636_167.10727,C10H14O2,2,4,927,181,912,976,506,816,1177,262,1147,1034,130
Alkylamines (piperidine?)_168.17264,C11H21N,0,2,2242,233,5025,3264,1572,2212,2838,805,3555,3405,35
Alkylamines (piperidine?)_168.17349,C11H21N,0,2,82,35,139,285,53,114,175,1728,315,340,16
Alkylamines (piperidine?)_168.17439,C11H21N,0,2,1225,393,2123,1731,998,1345,1091,1036,1391,1553,20
Fatty acid esters_169.08403,C7H14O3,3,1,991,1732,819,343,2010,1278,364,173,526,351,673
Cyclohexenones_169.12088,C10H16O2,2,3,5981,827,7065,9879,1692,4180,8619,4710,10854,10712,109
pos_656_170.18884,C11H23N,0,1,214,97,472,1353,159,292,658,2993,663,1207,20
Aldehydes/ketones_171.07773,C12H10O,1,8,596,1077,701,367,665,656,367,235,515,388,2147
pos_660_171.0782,C7H12N2O4,4,3,1082,1628,1262,457,1386,1203,903,291,776,561,1524
pos_662_171.07919,C12H10O,1,8,1301,2072,1541,580,1999,1559,937,140,986,638,2069
Aldehydes/ketones_173.09421,C10H14O,1,4,3201,3714,3566,1821,3952,3642,2432,360,2396,1852,2364
Aldehydes/ketones_173.09468,C12H12O,1,7,1847,2447,2398,1184,2489,2136,1394,399,1309,1135,6858
Ketones?_173.09485,C12H12O,1,7,532,5498,212,267,1041,415,278,157,278,206,15161
pos_684_173.09558,C12H12O,1,7,1898,4685,1072,505,2479,1981,828,297,730,629,5067
pos_687_173.12985,C8H16N2O2,2,2,934,444,1283,2361,556,863,1759,2584,1368,1647,311
"1,2-aminoalcohols?_174.18492",C10H23NO,1,0,2216,3250,2780,2493,2581,3487,3242,3257,2212,3584,2458
pos_692_175.07053,C6H10N2O4,4,3,2270,3034,3128,2169,3626,3291,2117,1720,2612,2430,1932
pos_693_175.07185,C9H12O2,2,4,1620,2370,1454,1277,2096,2132,1418,1332,1743,1656,2390
pos_695_175.07266,C6H10N2O4,4,3,1828,2171,1871,1540,1773,1964,1658,1485,1879,1919,3262
Diol-1arRings_175.07288,C9H12O2,2,4,2448,4712,1838,1652,3111,2637,1725,1560,1654,1779,5305
pos_697_175.07312,C9H12O2,2,4,4083,4819,4494,3070,4488,4802,4245,1946,4120,3989,5751
Methoxyphenols?_175.07336,C9H12O2,2,4,3219,6426,2295,1406,4524,3729,1844,1269,1690,1897,6955
Coumarin derivatives_175.07353,C11H10O2,2,7,9711,13399,7558,4680,10439,10154,7235,2145,6109,5617,13438
Diol-1arRings_175.07387,C9H12O2,2,4,1907,1749,1886,1669,1584,1443,1359,1750,1728,3319,7979
pos_708_175.10719,C7H14N2O3,3,2,837,961,1196,1367,1007,1137,1101,1643,1071,1273,820
Aldehydes?_175.10994,C12H16O2,2,5,971,935,1158,852,1082,1148,1060,1293,1339,1052,2766
1arRing aldehydes or ketones_175.11076,C12H14O,1,6,20656,27058,26191,12435,32285,16175,9555,2504,9320,6808,10308
Cinnamic acid derivatives_177.08955,C11H12O2,2,6,6543,9149,6958,3893,8850,7167,4593,1330,4573,3720,7958
pos_734_177.08981,C11H12O2,2,6,4578,5278,5188,4327,4912,5028,4557,3194,4000,4040,4953
Coniferyl aldehyde_179.06903,C10H10O3,3,6,14555,24139,17308,6829,22202,19423,10273,1045,10402,8066,23592
pos_763_181.08379,C10H12O3,3,5,3265,5061,4021,1991,4586,3967,2382,841,2518,1890,3498
pos_764_181.08379,C10H12O3,3,5,1116,1244,1020,633,1052,834,656,529,886,834,1928
pos_765_181.08424,C10H12O3,3,5,1633,3300,1546,489,3600,1849,725,206,729,561,2761
Methoxyphenols?_181.08475,C10H12O3,3,5,1177,833,2442,2133,1523,2042,2194,1212,2166,1687,360
pos_767_181.08536,C10H12O3,3,5,4651,9467,4001,955,8013,5704,1959,349,2187,1248,8822
Alkylamines (piperidine?)_182.18887,C12H23N,0,2,984,167,1919,1720,821,1123,1871,1353,2140,2128,8
Dicyclohexylamine_182.19008,C12H23N,0,2,639,289,1820,409,1268,1205,531,158,288,508,24
pos_784_183.11052,C7H16N2O2?,0,1,986,2258,1152,344,1772,1424,701,101,386,408,1956
Ethers_183.13602,C9H20O2,2,0,1051,267,1342,2568,460,940,1912,1776,2202,2343,56
pos_793_185.05888,C10H10O2,2,6,109,416,198,56,175,149,121,96,92,77,4057
Aldehyde/ketone_185.06029,C12H8O2,2,9,99,441,90,97,285,96,36,54,36,38,1381
pos_799_185.11386,C6H12N6O,1,4,943,369,1198,313,1142,1484,733,244,834,725,69
pos_800_185.11638,C10H16O3,3,3,1179,631,1692,297,1708,1815,641,123,996,623,149
Hydrocarbons?_185.13046,C14H18O,1,6,2821,4204,2937,1494,4020,3358,2344,435,2195,2000,3300
Hydrocarbons?_185.13048,C14H18O,1,6,4711,8773,5129,1579,8073,5393,3044,290,3097,1875,7435
Hydrocarbons?_185.13176,C14H16,0,7,6195,11397,6785,1729,11015,8278,3851,309,4035,2642,10755
"Oxazolidines, Piperidinones or N-acyl amines_186.18178",C11H23NO,1,1,228,42,393,1412,73,243,908,743,1290,2050,47
pos_811_187.07452,C12H10O2,2,8,4577,8218,5325,1734,7017,5545,2906,223,2899,1864,7169
Furans_187.07458,C12H10O2,2,8,5125,8402,2506,473,6144,4791,2510,396,2120,1549,3542
Aldehydes/ketones_187.07491,C12H10O2,2,8,1453,1413,1666,973,1771,1785,1095,429,1144,1198,929
Aldehydes/ketones_187.07535,C12H10O2,2,8,1045,1621,937,475,1395,1164,638,259,750,516,1480
pos_818_187.1111,C13H16O2,2,6,1930,1472,2849,1448,2244,2177,1635,520,1995,1585,1404
pos_819_187.11153,C19H24O5,5,8,949,1769,796,484,1402,1063,465,232,579,518,3820
"2,2-dimethyl-1-benzopyrans and ketones_189.09027",C12H12O2,2,7,1466,1410,2177,2193,1917,1389,1861,1518,1698,1931,1205
pos_830_189.09175,C12H12O2,2,7,442,1343,232,234,985,805,418,214,334,279,3917
pos_831_189.09369,C12H12O2,2,7,1892,1440,2027,1027,1819,2092,1829,740,1878,1951,2220
Cyclic ketones_97.06367,C6H8O,1,3,392,736,545,401,779,245,1898,539,316,221,7726
Coumarans or acetophenones (2ar Rings)_191.06776,C9H12O3,3,4,4180,6811,1518,863,4559,3758,1630,693,1641,1446,8302
Acetophenones?_191.06816,C11H10O3,3,7,3559,3822,3254,2324,3730,3083,2438,1485,2802,2411,3716
"Acetophenones, 2,2-dimethyl-1-benzopyrans, Chromones_191.06903",C11H10O3,3,7,6123,7304,5661,3890,6748,6725,5801,2205,5942,6040,6989
"Acetophenones, 2,2-dimethyl-1-benzopyrans, Chromones_191.06911",C11H10O3,3,7,5691,6455,5868,4024,6727,6899,5802,2563,5760,5844,7031
Coumarans or acetophenones (2ar Rings)_191.06917,C11H10O3,3,7,4092,4751,3791,2425,4818,4507,3556,1181,3223,3103,4846
pos_875_191.10837,C12H14O2,2,6,805,812,1049,1184,807,1138,1347,2295,1258,1496,1139
Piperidines_191.1745,C9H19NO2,2,1,440,22,210,1794,70,300,1424,2138,1499,1892,36
pos_881_193.08391,C11H14O4,4,5,169,378,199,177,242,228,252,194,214,250,1618
2-benzopyrans?_193.08539,C11H12O3,3,6,597,702,522,396,672,469,397,309,409,380,955
pos_886_193.08556,C11H12O3,3,6,2935,3695,3420,1905,3756,3842,2291,634,2653,2074,4097
pos_887_193.0858,C11H12O3,3,6,3491,4371,3399,2167,3686,3775,2327,1021,2665,2567,4314
pos_891_193.09326,C5H12N4O4,4,2,1657,558,2471,1598,971,1421,2195,596,2955,1744,520
pos_892_193.09665,C10H12N2O2,2,6,1286,1052,2006,1122,1673,1066,890,272,1294,1320,259
pos_894_193.11977,C10H18O2,2,2,641,1516,1574,1347,1594,805,850,767,1217,1151,316
pos_898_195.07841,C12H12O,1,7,190,304,283,152,358,258,266,116,189,122,1917
Stilbenes or 3Ar Rings_195.07892,C14H10O,1,10,171,270,221,232,191,264,179,118,149,206,4216
Stilbenes or 3Ar Rings_195.07985,C14H10O,1,10,185,276,282,214,338,369,193,194,265,201,2819
Dicyclohexylamine_196.2074,C13H25N,0,2,452,153,1419,869,840,1100,657,523,472,704,19
pos_916_197.05949,C13H8O2,2,10,300,706,149,96,260,263,197,140,119,116,1758
pos_921_197.09476,C14H12O,1,9,3516,5750,4059,1553,5679,5019,2702,376,2732,1968,6080
pos_926_199.07254,C13H10O2,2,9,1038,1799,1467,552,1673,1080,731,158,684,674,1665
pos_927_199.07315,C11H12O2,2,6,638,2285,568,223,1373,1122,581,236,461,455,3947
Aldehydes/ketones_199.11102,C14H14O,1,8,1060,2099,1080,1205,1297,1116,1365,1345,1009,1051,3201
pos_934_199.14105,C10H18N2O2,2,3,2215,2492,2257,1452,1672,1837,1805,1031,1473,1553,468
Hydrocarbons?_199.14694,C15H18,0,7,1654,324,1619,1721,548,1677,2433,1489,2437,2756,311
pos_936_199.1487,C15H18,0,7,670,652,553,778,734,596,576,423,667,554,2334
pos_937_200.1992,C12H25NO,1,1,269,36,707,966,83,227,774,253,882,1070,13
Benzopyrans?_201.05267,C12H8O3,3,9,1458,2586,595,169,1437,1831,739,106,622,365,3801
pos_939_201.08821,C8H14N2O5,5,3,1279,1310,1396,1073,1628,1866,1414,1000,1442,1412,1392
Furans_201.0891,C13H12O2,2,8,3812,4765,4175,2941,4616,4564,3420,1116,3623,3071,3668
pos_943_201.09235,C13H12O2,2,8,1622,2386,2068,1171,2284,1615,1165,438,1357,1082,2103
"1,2-aminoalcohols?_202.21555",C12H27NO,1,0,1177,1494,1399,1614,1403,1719,1601,1857,1349,2079,1438
Coumarin derivatives_203.06885,C12H10O3,3,8,758,1735,901,330,1263,1356,567,253,865,533,1777
Coumarin derivatives_203.06996,C12H10O3,3,8,2254,3949,3270,1421,4031,3422,1819,367,2111,1707,4145
pos_958_203.10466,C13H14O2,2,7,2441,4004,2396,901,4115,3302,1398,705,1810,1562,4708
